image_idx,mean_iou,class_0_iou,class_0_gt_pixels,class_0_pred_pixels,class_1_iou,class_1_gt_pixels,class_1_pred_pixels,class_2_iou,class_2_gt_pixels,class_2_pred_pixels,class_3_iou,class_3_gt_pixels,class_3_pred_pixels,class_4_iou,class_4_gt_pixels,class_4_pred_pixels,class_5_iou,class_5_gt_pixels,class_5_pred_pixels,class_6_iou,class_6_gt_pixels,class_6_pred_pixels,class_7_iou,class_7_gt_pixels,class_7_pred_pixels,class_8_iou,class_8_gt_pixels,class_8_pred_pixels,class_9_iou,class_9_gt_pixels,class_9_pred_pixels,class_10_iou,class_10_gt_pixels,class_10_pred_pixels,class_11_iou,class_11_gt_pixels,class_11_pred_pixels,class_12_iou,class_12_gt_pixels,class_12_pred_pixels,class_13_iou,class_13_gt_pixels,class_13_pred_pixels,class_14_iou,class_14_gt_pixels,class_14_pred_pixels,class_15_iou,class_15_gt_pixels,class_15_pred_pixels,class_16_iou,class_16_gt_pixels,class_16_pred_pixels,class_17_iou,class_17_gt_pixels,class_17_pred_pixels,class_18_iou,class_18_gt_pixels,class_18_pred_pixels
36,0.4785528871120463,0.9392213148282715,797758,1006053,0.26844381099623155,81188,26316,0.8717183005207944,352296,412769,0.0,9281,24386,0.5641212474497231,27331,76058,0.46838129191070366,35233,40216,0.18663883089770356,1786,1056,0.7207882320288649,21677,26803,0.8778685954566344,208611,249049,nan,0,0,0.8100241644267058,36406,30885,0.0009386366302944972,7936,1457,0.0,0,9776,0.8663270540552894,185306,186453,nan,0,0,0.0,0,52,nan,0,0,nan,0,0,0.6038218274794779,6095,5823
37,0.35578058648030536,0.8984382769956826,661671,906101,0.6250387831476211,256726,189239,0.6346923361241905,221332,210373,0.0,9621,673,0.18463107786467187,40009,97346,0.6275761094562529,88376,76710,0.0,494,394,0.0,1477,2177,0.803796703987923,343863,400577,0.07698675496688742,1203,111,0.9545092718227046,109103,119960,0.0,0,1298,0.0,274,0,0.8983708390582965,81570,85190,nan,0,0,0.0,0,271,0.0,0,5126,nan,0,0,0.34422981674096087,3987,1606
38,0.385780194310023,0.947745709162326,682431,890768,0.3179374285593328,30631,162876,0.4987954455935293,91344,87698,0.18876705845231523,9901,7641,0.0,4771,22278,0.5616442793590464,76611,86089,0.0,458,2219,0.8141938923610083,59941,63320,0.882067974532652,402575,440328,0.0,4661,0,0.9331529257947306,128491,138415,0.0,0,26483,0.1735324272457215,37738,6902,0.8244666053200368,82741,89921,0.0,0,54,nan,0,0,0.0,0,73,0.0,863,0,0.8017397511997144,65620,72087
39,0.4263758440880085,0.9777367123177245,815036,1010357,0.11576941400666985,6875,146652,0.7356012429541842,49325,50871,0.36375220544991177,10048,18003,0.0,0,1489,0.5964022008723665,51665,76951,0.5292397660818714,3496,3659,0.8576428924394663,21407,27985,0.9244339858208035,615427,636108,0.0,0,1018,0.9322673849731211,85559,94839,0.0,1433,181,0.406062339147841,3209,1708,0.63342473661423,21185,24348,nan,0,0,0.0,0,791,nan,0,0,0.012751953928424516,2407,55,0.1633045148895293,476,2137
40,0.44798203351505955,0.9801979848100908,838467,1050406,0.06871687950655894,8053,56691,0.6499915211124301,55410,79058,nan,0,0,nan,0,0,0.5601148101289726,42662,47318,0.12117714945181765,1331,1048,0.24948289578361177,2404,10650,0.923977524671697,612638,666319,0.0,0,388,0.9050590531549629,68451,72539,0.25848022515182933,3622,5047,0.5442451291734615,18830,17314,0.7302945628129002,60545,58358,0.0,0,247,0.3938216499149032,31130,12275,nan,0,0,0.6121814791796146,13043,18369,0.16997167138810199,5070,1125
41,0.44551283252619683,0.952694597069597,839160,1060350,0.29929524945931835,50891,18798,0.7867936609572594,350550,330749,0.0,11117,0,nan,0,0,0.5657658899765614,10279,12598,0.0,381,0,0.3822985131772063,7347,14940,0.8576176735448762,367434,418765,0.20797576981322563,3898,888,0.8971542553191489,73141,72451,0.0,0,7410,0.0,3398,0,0.8918524544650409,141508,152361,0.8412444241107171,8256,7842,nan,0,0,nan,0,0,nan,0,0,0.0,1179,0
42,0.5059631042548351,0.9502597004485931,887562,1113611,0.26309910241415113,68247,32646,0.8577588986751123,540812,569870,0.0,0,1088,nan,0,0,0.24029208171534694,32985,31453,0.5788102839858847,16968,23617,0.6147889462496204,21788,21925,0.6921778671680294,84103,110019,0.30687830687830686,157,90,0.9402499873998287,77740,80057,0.6991724509929169,56243,70157,nan,0,0,0.807212438216805,37698,37623,nan,0,0,nan,0,0,nan,0,0,0.0,1126,2854,0.1327833954230974,2781,2142
43,0.48936211901794807,0.9658586125356164,731765,903547,0.6434704391201242,43973,58075,0.8520724237212808,250465,268750,0.10878051622676688,17163,4091,0.0,0,27370,0.4897232959077244,33873,42973,0.0,206,4,0.0,1008,474,0.8843362458634224,361662,380476,0.0,420,0,0.9361563517915309,43708,45494,0.524308570011162,14322,10259,0.6076380728554641,5657,8040,0.9290275227228552,324346,343596,nan,0,0,nan,0,0,nan,0,0,nan,0,0,0.3990597345132743,6115,4003
44,0.5121628956958181,0.9751455906821963,793638,974818,0.8102021351875212,141851,154317,0.8332652886649248,474622,520464,nan,0,0,0.0,0,474,0.5595359283856061,49197,48730,0.0,15510,0,0.1281748375664501,11864,3416,0.8303517962587691,217110,252528,0.0,943,0,0.9207057240399711,38666,40392,0.6932309469182626,47845,63022,nan,0,0,0.6902586227791647,36989,33470,nan,0,0,nan,0,0,nan,0,0,nan,0,0,0.21724677356276886,7535,5521
45,0.46061831737180314,0.9805332618099541,717113,919155,0.7224501382758558,85817,109253,0.8310086376636628,490821,562578,nan,0,0,0.0336480271120794,339,4073,0.04486985929101999,30900,4366,0.1863872403560831,10784,2010,0.5126841953192719,15882,10310,0.8898239603455188,257957,267686,nan,0,2,0.9112256319373193,42146,42489,0.48757861187786344,32687,20031,0.007525083612040134,2392,18,0.840921795604575,150089,150288,nan,0,0,nan,0,0,nan,0,0,0.0,4205,6,0.0,90,4887
